Pitch,Position,Velocity,Length
67.0,78000.0,100,240.0
68.0,78240.0,100,240.0
66.0,78480.0,100,240.0
67.0,78720.0,100,240.0
47.0,78720.0,100,960.0
71.0,78960.0,100,240.0
74.0,79200.0,100,240.0
72.0,79440.0,100,240.0
74.0,79680.0,100,240.0
43.0,79680.0,100,960.0
67.0,79920.0,100,240.0
68.0,80160.0,100,240.0
66.0,80400.0,100,240.0
76.0,80640.0,100,240.0
36.0,80640.0,100,960.0
74.0,80880.0,100,240.0
72.0,81120.0,100,480.0
48.0,81600.0,100,960.0
67.0,81840.0,100,240.0
68.0,82080.0,100,240.0
70.0,82320.0,100,240.0
64.0,82560.0,100,240.0
43.0,82560.0,100,960.0
73.0,82800.0,100,240.0
72.0,83040.0,100,240.0
70.0,83280.0,100,240.0
79.0,83520.0,100,240.0
52.0,83520.0,100,960.0
70.0,83760.0,100,240.0
68.0,84000.0,100,240.0
67.0,84240.0,100,240.0
70.0,84480.0,100,240.0
43.0,84480.0,100,960.0
69.0,84720.0,100,240.0
67.0,84960.0,100,480.0
46.0,85440.0,100,960.0
66.0,85680.0,100,240.0
67.0,85920.0,100,240.0
69.0,86160.0,100,240.0
70.0,86400.0,100,240.0
51.0,86400.0,100,960.0
74.0,86640.0,100,240.0
72.0,86880.0,100,240.0
70.0,87120.0,100,240.0
75.0,87360.0,100,240.0
43.0,87360.0,100,960.0
74.0,87600.0,100,240.0
72.0,87840.0,100,240.0
70.0,88080.0,100,240.0
75.0,88320.0,100,240.0
36.0,88320.0,100,960.0
74.0,88560.0,100,240.0
72.0,88800.0,100,480.0
51.0,89280.0,100,960.0
71.0,89520.0,100,240.0
72.0,89760.0,100,240.0
74.0,90000.0,100,240.0
75.0,90240.0,100,240.0
56.0,90240.0,100,960.0
79.0,90480.0,100,240.0
77.0,90720.0,100,240.0
75.0,90960.0,100,240.0
80.0,91200.0,100,240.0
36.0,91200.0,100,960.0
79.0,91440.0,100,240.0
77.0,91680.0,100,240.0
75.0,91920.0,100,240.0
80.0,92160.0,100,240.0
41.0,92160.0,100,960.0
73.0,92400.0,100,240.0
72.0,92640.0,100,720.0
39.0,93120.0,100,960.0
75.0,93360.0,100,240.0
77.0,93600.0,100,240.0
79.0,93840.0,100,240.0
77.0,94080.0,100,240.0
38.0,94080.0,100,960.0
72.0,94320.0,100,240.0
71.0,94560.0,100,720.0
43.0,95040.0,100,960.0
68.0,95280.0,100,240.0
67.0,95520.0,100,240.0
65.0,95760.0,100,240.0
75.0,96000.0,100,240.0
48.0,96000.0,100,960.0
68.0,96240.0,100,240.0
67.0,96480.0,100,720.0
46.0,96960.0,100,960.0
70.0,97200.0,100,240.0
72.0,97440.0,100,240.0
74.0,97680.0,100,240.0
72.0,97920.0,100,240.0
45.0,97920.0,100,960.0
67.0,98160.0,100,240.0
66.0,98400.0,100,720.0
38.0,98880.0,100,960.0
87.0,99120.0,100,240.0
86.0,99360.0,100,240.0
84.0,99600.0,100,240.0
77.0,99840.0,100,240.0
47.0,99840.0,100,960.0
68.0,100080.0,100,240.0
67.0,100320.0,100,720.0
50.0,100800.0,100,960.0
69.0,101040.0,100,240.0
71.0,101280.0,100,240.0
72.0,101520.0,100,240.0
74.0,101760.0,100,240.0
43.0,101760.0,100,960.0
64.0,102000.0,100,240.0
65.0,102240.0,100,720.0
47.0,102720.0,100,960.0
68.0,102960.0,100,240.0
67.0,103200.0,100,240.0
65.0,103440.0,100,240.0
67.0,103680.0,100,240.0
48.0,103680.0,100,960.0
72.0,103920.0,100,240.0
75.0,104160.0,100,240.0
74.0,104400.0,100,240.0
75.0,104640.0,100,240.0
43.0,104640.0,100,960.0
67.0,104880.0,100,240.0
68.0,105120.0,100,240.0
66.0,105360.0,100,240.0
67.0,105600.0,100,240.0
47.0,105600.0,100,960.0
74.0,105840.0,100,240.0
77.0,106080.0,100,720.0
43.0,106560.0,100,960.0
80.0,106800.0,100,240.0
79.0,107040.0,100,240.0
77.0,107280.0,100,240.0
74.0,107520.0,100,240.0
55.0,107520.0,100,960.0
79.0,107760.0,100,240.0
82.0,108000.0,100,240.0
81.0,108240.0,100,240.0
82.0,108480.0,100,240.0
38.0,108480.0,100,960.0
74.0,108720.0,100,240.0
75.0,108960.0,100,240.0
73.0,109200.0,100,240.0
74.0,109440.0,100,240.0
54.0,109440.0,100,960.0
81.0,109680.0,100,240.0
84.0,109920.0,100,720.0
38.0,110400.0,100,960.0
75.0,110640.0,100,240.0
74.0,110880.0,100,240.0
72.0,111120.0,100,240.0
72.0,111360.0,100,240.0
32.0,111360.0,100,960.0
71.0,111600.0,100,240.0
72.0,111840.0,100,240.0
76.0,112080.0,100,240.0
77.0,112320.0,100,480.0
44.0,112320.0,100,960.0
80.0,112800.0,100,720.0
38.0,113280.0,100,960.0
72.0,113520.0,100,240.0
71.0,113760.0,100,720.0
53.0,114240.0,100,960.0
72.0,114480.0,100,240.0
74.0,114720.0,100,240.0
75.0,114960.0,100,240.0
75.0,115200.0,100,240.0
48.0,115200.0,100,960.0
74.0,115440.0,100,240.0
75.0,115680.0,100,240.0
79.0,115920.0,100,240.0
84.0,116160.0,100,480.0
58.0,116160.0,100,960.0
87.0,116640.0,100,720.0
57.0,117120.0,100,960.0
79.0,117360.0,100,240.0
78.0,117600.0,100,720.0
55.0,118080.0,100,960.0
79.0,118320.0,100,240.0
81.0,118560.0,100,240.0
82.0,118800.0,100,240.0
75.0,119040.0,100,240.0
48.0,119040.0,100,480.0
79.0,119280.0,100,240.0
84.0,119520.0,100,240.0
44.0,119520.0,100,480.0
86.0,119760.0,100,240.0
87.0,120000.0,100,480.0
41.0,120000.0,100,480.0
86.0,120480.0,100,480.0
43.0,120480.0,100,480.0
84.0,120960.0,100,240.0
44.0,120960.0,100,960.0
77.0,121200.0,100,240.0
76.0,121440.0,100,720.0
43.0,121920.0,100,960.0
79.0,122160.0,100,240.0
80.0,122400.0,100,240.0
82.0,122640.0,100,240.0
70.0,122880.0,100,240.0
55.0,122880.0,100,480.0
74.0,123120.0,100,240.0
79.0,123360.0,100,240.0
51.0,123360.0,100,480.0
81.0,123600.0,100,240.0
82.0,123840.0,100,480.0
48.0,123840.0,100,480.0
82.0,124320.0,100,80.16000000000001
50.0,124320.0,100,480.0
81.0,124560.0,100,240.0
79.0,124800.0,100,240.0
51.0,124800.0,100,960.0
72.0,125040.0,100,240.0
71.0,125280.0,100,720.0
50.0,125760.0,100,960.0
74.0,126000.0,100,240.0
75.0,126240.0,100,240.0
77.0,126480.0,100,240.0
82.0,126720.0,100,240.0
43.0,126720.0,100,480.0
84.0,126960.0,100,240.0
86.0,127200.0,100,240.0
46.0,127200.0,100,480.0
79.0,127440.0,100,240.0
82.0,127680.0,100,240.0
48.0,127680.0,100,480.0
81.0,127920.0,100,240.0
79.0,128160.0,100,240.0
50.0,128160.0,100,480.0
78.0,128400.0,100,240.0
79.0,128640.0,100,240.0
51.0,128640.0,100,480.0
82.0,128880.0,100,240.0
73.0,129120.0,100,720.0
55.0,129120.0,100,480.0
58.0,129600.0,100,480.0
76.0,129840.0,100,240.0
74.0,130080.0,100,240.0
52.0,130080.0,100,480.0
73.0,130320.0,100,240.0
70.0,130560.0,100,240.0
49.0,130560.0,100,960.0
71.0,130800.0,100,240.0
70.0,131040.0,100,240.0
69.0,131280.0,100,240.0
70.0,131520.0,100,240.0
78.0,131760.0,100,240.0
77.0,132000.0,100,240.0
43.0,132000.0,100,480.0
76.0,132240.0,100,240.0
77.0,132480.0,100,480.0
44.0,132480.0,100,480.0
72.0,132960.0,100,480.0
41.0,132960.0,100,480.0
82.0,133440.0,100,240.0
48.0,133440.0,100,480.0
80.0,133680.0,100,240.0
80.0,133920.0,100,60.0
36.0,133920.0,100,480.0
77.0,134160.0,100,240.0
79.0,134400.0,100,240.0
39.0,134400.0,100,960.0
77.0,134640.0,100,240.0
75.0,134880.0,100,240.0
77.0,135120.0,100,240.0
79.0,135360.0,100,240.0
51.0,135360.0,100,960.0
75.0,135600.0,100,240.0
79.0,135840.0,100,240.0
73.0,136080.0,100,240.0
72.0,136320.0,100,240.0
44.0,136320.0,100,480.0
70.0,136560.0,100,240.0
72.0,136800.0,100,240.0
55.0,136800.0,100,480.0
82.0,137040.0,100,240.0
72.0,137280.0,100,240.0
53.0,137280.0,100,480.0
80.0,137520.0,100,240.0
72.0,137760.0,100,240.0
51.0,137760.0,100,480.0
79.0,138000.0,100,240.0
80.0,138240.0,100,240.0
41.0,138240.0,100,960.0
79.0,138480.0,100,240.0
77.0,138720.0,100,240.0
79.0,138960.0,100,240.0
80.0,139200.0,100,240.0
53.0,139200.0,100,960.0
77.0,139440.0,100,240.0
80.0,139680.0,100,240.0
75.0,139920.0,100,240.0
73.0,140160.0,100,240.0
58.0,140160.0,100,480.0
72.0,140400.0,100,240.0
73.0,140640.0,100,240.0
44.0,140640.0,100,480.0
84.0,140880.0,100,240.0
73.0,141120.0,100,240.0
43.0,141120.0,100,480.0
82.0,141360.0,100,240.0
73.0,141600.0,100,240.0
41.0,141600.0,100,480.0
80.0,141840.0,100,240.0
70.0,142080.0,100,240.0
55.0,142080.0,100,960.0
74.0,142320.0,100,240.0
79.0,142560.0,100,240.0
78.0,142800.0,100,240.0
79.0,143040.0,100,240.0
38.0,143040.0,100,960.0
74.0,143280.0,100,240.0
75.0,143520.0,100,240.0
73.0,143760.0,100,240.0
74.0,144000.0,100,240.0
54.0,144000.0,100,960.0
78.0,144240.0,100,240.0
81.0,144480.0,100,240.0
79.0,144720.0,100,240.0
81.0,144960.0,100,240.0
38.0,144960.0,100,960.0
74.0,145200.0,100,240.0
75.0,145440.0,100,240.0
73.0,145680.0,100,240.0
75.0,145920.0,100,240.0
36.0,145920.0,100,960.0
74.0,146160.0,100,240.0
75.0,146400.0,100,240.0
79.0,146640.0,100,240.0
71.0,146880.0,100,240.0
53.0,146880.0,100,960.0
69.0,147120.0,100,240.0
71.0,147360.0,100,240.0
79.0,147600.0,100,240.0
72.0,147840.0,100,240.0
51.0,147840.0,100,960.0
71.0,148080.0,100,240.0
72.0,148320.0,100,240.0
79.0,148560.0,100,240.0
74.0,148800.0,100,240.0
55.0,148800.0,100,960.0
72.0,149040.0,100,240.0
74.0,149280.0,100,240.0
77.0,149520.0,100,240.0
72.0,149760.0,100,240.0
44.0,149760.0,100,960.0
75.0,150000.0,100,240.0
74.0,150240.0,100,240.0
72.0,150480.0,100,240.0
71.0,150720.0,100,240.0
53.0,150720.0,100,960.0
72.0,150960.0,100,240.0
74.0,151200.0,100,240.0
75.0,151440.0,100,240.0
77.0,151680.0,100,240.0
50.0,151680.0,100,960.0
80.0,151920.0,100,240.0
79.0,152160.0,100,240.0
77.0,152400.0,100,240.0
79.0,152640.0,100,240.0
47.0,152640.0,100,960.0
77.0,152880.0,100,240.0
75.0,153120.0,100,240.0
74.0,153360.0,100,240.0
80.0,153600.0,100,240.0
53.0,153600.0,100,960.0
79.0,153840.0,100,240.0
80.0,154080.0,100,240.0
84.0,154320.0,100,240.0
76.0,154560.0,100,240.0
46.0,154560.0,100,960.0
74.0,154800.0,100,240.0
76.0,155040.0,100,240.0
84.0,155280.0,100,240.0
77.0,155520.0,100,240.0
44.0,155520.0,100,960.0
76.0,155760.0,100,240.0
77.0,156000.0,100,240.0
84.0,156240.0,100,240.0
79.0,156480.0,100,240.0
48.0,156480.0,100,960.0
77.0,156720.0,100,240.0
79.0,156960.0,100,240.0
82.0,157200.0,100,240.0
77.0,157440.0,100,240.0
38.0,157440.0,100,960.0
80.0,157680.0,100,240.0
70.0,157920.0,100,480.0
53.0,158400.0,100,960.0
72.0,158640.0,100,240.0
74.0,158880.0,100,240.0
75.0,159120.0,100,240.0
77.0,159360.0,100,240.0
58.0,159360.0,100,960.0
80.0,159600.0,100,240.0
79.0,159840.0,100,240.0
77.0,160080.0,100,240.0
82.0,160320.0,100,240.0
38.0,160320.0,100,960.0
80.0,160560.0,100,240.0
79.0,160800.0,100,240.0
77.0,161040.0,100,240.0
79.0,161280.0,100,240.0
39.0,161280.0,100,960.0
77.0,161520.0,100,240.0
79.0,161760.0,100,240.0
75.0,162000.0,100,240.0
79.0,162240.0,100,240.0
51.0,162240.0,100,960.0
74.0,162480.0,100,240.0
79.0,162720.0,100,240.0
72.0,162960.0,100,240.0
71.0,163200.0,100,240.0
50.0,163200.0,100,960.0
69.0,163440.0,100,240.0
71.0,163680.0,100,240.0
80.0,163920.0,100,240.0
71.0,164160.0,100,240.0
43.0,164160.0,100,960.0
79.0,164400.0,100,240.0
71.0,164640.0,100,240.0
77.0,164880.0,100,240.0
79.0,165120.0,100,240.0
39.0,165120.0,100,960.0
77.0,165360.0,100,240.0
79.0,165600.0,100,240.0
82.0,165840.0,100,240.0
74.0,166080.0,100,240.0
56.0,166080.0,100,960.0
72.0,166320.0,100,240.0
74.0,166560.0,100,240.0
82.0,166800.0,100,240.0
75.0,167040.0,100,240.0
55.0,167040.0,100,960.0
74.0,167280.0,100,240.0
75.0,167520.0,100,240.0
82.0,167760.0,100,240.0
77.0,168000.0,100,240.0
58.0,168000.0,100,960.0
75.0,168240.0,100,240.0
77.0,168480.0,100,240.0
80.0,168720.0,100,240.0
75.0,168960.0,100,240.0
48.0,168960.0,100,960.0
74.0,169200.0,100,240.0
72.0,169440.0,100,480.0
51.0,169920.0,100,960.0
71.0,170160.0,100,240.0
72.0,170400.0,100,240.0
74.0,170640.0,100,240.0
75.0,170880.0,100,240.0
56.0,170880.0,100,960.0
79.0,171120.0,100,240.0
77.0,171360.0,100,240.0
75.0,171600.0,100,240.0
80.0,171840.0,100,240.0
48.0,171840.0,100,960.0
79.0,172080.0,100,240.0
77.0,172320.0,100,240.0
75.0,172560.0,100,240.0
69.0,172800.0,100,240.0
41.0,172800.0,100,960.0
78.0,173040.0,100,240.0
77.0,173280.0,100,240.0
75.0,173520.0,100,240.0
84.0,173760.0,100,240.0
41.0,173760.0,100,960.0
78.0,174000.0,100,240.0
77.0,174240.0,100,240.0
75.0,174480.0,100,240.0
69.0,174720.0,100,240.0
41.0,174720.0,100,960.0
78.0,174960.0,100,240.0
77.0,175200.0,100,240.0
75.0,175440.0,100,240.0
84.0,175680.0,100,240.0
78.0,175920.0,100,240.0
77.0,176160.0,100,240.0
75.0,176400.0,100,240.0
71.0,176640.0,100,240.0
43.0,176640.0,100,960.0
80.0,176880.0,100,240.0
79.0,177120.0,100,240.0
77.0,177360.0,100,240.0
86.0,177600.0,100,240.0
43.0,177600.0,100,960.0
80.0,177840.0,100,240.0
79.0,178080.0,100,240.0
77.0,178320.0,100,240.0
71.0,178560.0,100,240.0
43.0,178560.0,100,960.0
80.0,178800.0,100,240.0
79.0,179040.0,100,240.0
77.0,179280.0,100,240.0
86.0,179520.0,100,240.0
80.0,179760.0,100,240.0
79.0,180000.0,100,240.0
77.0,180240.0,100,240.0
72.0,180480.0,100,480.0
39.0,180480.0,100,480.0
67.0,180960.0,100,480.0
36.0,180960.0,100,480.0
77.0,181440.0,100,240.0
43.0,181440.0,100,480.0
75.0,181680.0,100,240.0
74.0,181920.0,100,240.0
43.0,181920.0,100,480.0
72.0,182160.0,100,240.0
72.0,182400.0,100,240.0
54.0,182400.0,100,960.0
45.0,182400.0,100,960.0
74.0,182640.0,100,240.0
75.0,182880.0,100,240.0
72.0,183120.0,100,240.0
75.0,183360.0,100,240.0
74.0,183600.0,100,240.0
72.0,183840.0,100,240.0
70.0,184080.0,100,240.0
39.0,184320.0,100,960.0
79.0,184800.0,100,240.0
75.0,185040.0,100,240.0
71.0,185280.0,100,480.0
72.0,185760.0,100,480.0
51.0,185760.0,100,240.0
50.0,186000.0,100,240.0
51.0,186240.0,100,960.0
78.0,186720.0,100,240.0
79.0,186960.0,100,240.0
83.0,187200.0,100,480.0
84.0,187680.0,100,480.0
39.0,187680.0,100,480.0
77.0,188160.0,100,480.0
41.0,188160.0,100,960.0
80.0,188640.0,100,240.0
77.0,188880.0,100,240.0
72.0,189120.0,100,480.0
73.0,189600.0,100,480.0
53.0,189600.0,100,240.0
52.0,189840.0,100,240.0
53.0,190080.0,100,960.0
79.0,190560.0,100,240.0
80.0,190800.0,100,240.0
84.0,191040.0,100,480.0
85.0,191520.0,100,480.0
41.0,191520.0,100,480.0
77.0,192000.0,100,240.0
50.0,192000.0,100,960.0
80.0,192240.0,100,240.0
79.0,192480.0,100,240.0
77.0,192720.0,100,240.0
76.0,192960.0,100,240.0
58.0,192960.0,100,960.0
77.0,193200.0,100,240.0
79.0,193440.0,100,240.0
80.0,193680.0,100,240.0
82.0,193920.0,100,240.0
55.0,193920.0,100,960.0
85.0,194160.0,100,240.0
84.0,194400.0,100,240.0
82.0,194640.0,100,240.0
84.0,194880.0,100,240.0
52.0,194880.0,100,960.0
82.0,195120.0,100,240.0
80.0,195360.0,100,240.0
79.0,195600.0,100,240.0
84.0,195840.0,100,240.0
54.0,195840.0,100,960.0
75.0,196080.0,100,240.0
74.0,196320.0,100,720.0
57.0,196800.0,100,960.0
76.0,197040.0,100,240.0
78.0,197280.0,100,240.0
79.0,197520.0,100,240.0
81.0,197760.0,100,240.0
54.0,197760.0,100,960.0
71.0,198000.0,100,240.0
72.0,198240.0,100,720.0
50.0,198720.0,100,960.0
75.0,198960.0,100,240.0
74.0,199200.0,100,240.0
72.0,199440.0,100,240.0
